,ID,age,height_cm,weight_kg,overall,pac,sho,pas,dri,def,phy,skill_moves,weak_foot,work_rate_att,work_rate_def,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle
7,183277,26,173.0,76.0,90,90,82,84,92,32,66,4,4,High,Medium,80,83,57,86,79,93,82,79,81,92,93,87,93,85,91,79,59,79,65,82,54,41,85,86,86,87,25,27,22
11,192985,26,181.0,68.0,89,75,84,88,85,45,75,4,4,High,High,90,83,53,90,82,85,83,83,84,87,76,75,80,88,75,85,65,87,73,86,68,56,84,90,77,84,30,51,40
12,192119,25,199.0,94.0,89,85,91,69,88,49,86,1,3,Medium,Medium,14,14,13,32,12,13,19,11,31,23,46,52,61,81,45,36,68,38,70,17,23,15,13,44,27,52,11,18,16
13,184941,28,169.0,62.0,89,86,84,80,89,40,78,4,3,High,High,80,85,70,81,83,90,78,78,73,87,88,84,90,87,87,84,85,85,72,82,80,42,86,83,77,86,30,39,35
16,153079,29,173.0,70.0,89,87,88,75,89,23,72,4,4,High,Medium,70,90,68,79,85,89,82,72,63,89,90,84,86,89,91,88,80,74,74,83,63,24,91,83,83,90,13,20,12
28,176635,28,180.0,76.0,88,71,74,87,86,24,58,4,2,Medium,Low,82,74,54,89,77,86,84,79,84,90,75,68,83,87,70,70,52,69,57,76,48,24,83,92,67,78,22,16,19
33,215914,26,168.0,68.0,87,81,66,75,79,81,84,3,3,Medium,High,67,65,54,84,56,77,49,49,79,79,82,80,83,87,90,72,79,94,77,66,90,91,71,76,54,84,75,89,85
42,168542,31,173.0,67.0,87,68,72,87,87,38,61,4,2,High,Low,83,71,54,91,79,84,82,75,79,90,72,65,92,84,89,71,66,78,56,73,51,43,81,92,73,92,25,44,29
50,192505,24,190.0,94.0,86,83,85,70,74,34,84,3,4,Medium,Medium,68,89,87,71,76,78,72,66,68,75,76,89,62,85,47,88,71,80,93,75,72,27,87,73,82,84,27,30,30
54,189242,25,171.0,71.0,86,82,78,83,88,35,64,4,4,High,High,77,74,47,85,75,88,84,82,78,88,88,77,92,81,92,80,59,80,61,86,55,30,83,87,64,85,24,44,40
